Assc.	Lineage	Superorder	Orders	Family	OrdersEnglish	MYA	ScientificName	EnglishName	NCBI taxon ID	AssemblyId	asmId	sciName	comName	VGPLineage
GCA_048544225.1	Fishes	Actinopterygii (Ray-finned Fishes)	Clupeiformes	Engraulidae	Herrings/Anchovies	230	Coilia mystus	Osbeck's grenadier anchovy	286537	fColCha1	GCA_048544225.1_fCoiMys1.hap2	Coilia mystus	Osbeck's grenadier anchovy (Shantou hap2 2025)	fish
GCA_048565345.1	Amphibians	Anura	Neobatrachia > Ranoidea > Natatanura (Mantellidae & Ceratobatrachidae)	Mantellidae	Madagascar frogs	60	Mantella aurantiaca	golden mantella	43514	aManAur1	GCA_048565345.1_aManAur1.hap1	Mantella aurantiaca	golden mantella (hap1 2025)	amphibians
GCA_048565385.1	Mammals	Supraprimates (Euarchontoglires)	Primates (Platyrrhines)	Cebidae	New World Monkeys	30	Saimiri boliviensis	Bolivian squirrel monkey	27679	mSaiBol1	GCA_048565385.1_mSaiBol1.pri	Saimiri boliviensis	Bolivian squirrel monkey (mSaiBol1 primary hap 2025)	mammals
GCA_048569125.1	Fishes	Actinopterygii (Ray-finned Fishes)	Trachichthyiformes	Diretmidae	Roughies		Diretmus argenteus	silver spinyfin	88656	fDirArg1	GCA_048569125.1_fDirArg3.hap1	Diretmus argenteus	silver spinyfin (hap1 2025)	fish
GCA_048569485.1	Amphibians	Anura	Neobatrachia > Hyloidea (Dendrobatidae & Aromobatidae)	Dendrobatidae	Poison dart frogs	60	Anomaloglossus baeobatrachus	Edward's Rocket Frog	238106	aAnoBae1	GCA_048569485.1_aAnoBae1.hap1	Anomaloglossus baeobatrachus	frog A.baeobatrachus (hap1 2025)	amphibians
GCA_048593225.1	Mammals	Marsupials	Dasyuromorphia	Dasyuridae	Tasmanian devil/Numbats/Quolls	63	Sarcophilus harrisii	Tasmanian devil	9305	mSarHar1	GCA_048593225.1_ASM4859322v1	Sarcophilus harrisii	Tasmanian devil (McLovin hap1 2025)	mammals
GCA_048593235.1	Mammals	Marsupials	Dasyuromorphia	Dasyuridae	Tasmanian devil/Numbats/Quolls	63	Sminthopsis crassicaudata	fat-tailed dunnart	9301	mSmiCra1	GCA_048593235.1_ASM4859323v1	Sminthopsis crassicaudata	fat-tailed dunnart (SCR6 hap1 2025)	mammals
GCA_048593285.1	Mammals	Marsupials	Dasyuromorphia	Dasyuridae	Tasmanian devil/Numbats/Quolls	63	Dasyurus maculatus	tiger quoll	9281	mDasMac1	GCA_048593285.1_ASM4859328v1	Dasyurus maculatus	spotted-tailed quoll (Chaos hap1 2025)	mammals
GCA_048628825.1	Fishes	Actinopterygii (Ray-finned Fishes)	Atheriniformes	Atherinopsidae	Silversides	75	Menidia menidia	Atlantic silverside	238744	fMenAtl1	GCA_048628825.1_ASM4862882v1	Menidia menidia	Atlantic silverside (fMenMen1 hap1 2025)	fish
GCA_048771875.1	Mammals	Supraprimates (Euarchontoglires)	Rodentia (Ctenodactylidae)	Ctenodactylidae	Gundis, Squirrel-rat	60	Ctenodactylus gundi	common gundi	10166	mCteGun2	GCA_048771875.1_mCteGun2.hap1	Ctenodactylus gundi	northern gundi (hap1 2025)	mammals
